Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1280215,"Cytokine Signaling in Immune system",29,1092,0.07519625395950971,0.005069850903407724,0.21800358884653215,267,708,0.05273350215998808,9606,Homo sapiens,"IL10;IL21;CIITA;SMAD3;TNFSF15;IL23R;FASLG;IL2;IL18RAP;IRF4;IL2RA;STAT4;CSK;JAK2;SH2B3;PTPN2;IL18R1;HLA-DQA1;CCR2","","R-HSA-450054;R-HSA-452100;R-HSA-5693012;R-HSA-8950415;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-1112602;R-HSA-8987266;R-HSA-1112604;R-HSA-8950405;R-HSA-1369114;R-HSA-1369115;R-HSA-8950426;R-HSA-1671691;R-HSA-1168393;R-HSA-1168394;R-HSA-452122;R-HSA-913424;R-HSA-1671687;R-HSA-8950423;R-HSA-8950441;R-HSA-6783556;R-HSA-6786114;R-HSA-913451;R-HSA-6783552;R-HSA-1031716;R-HSA-6786124;R-HSA-1168445;R-HSA-1031713;R-HSA-8937656;R-HSA-1168423;R-HSA-8950448;R-HSA-8950453;R-HSA-8937654;R-HSA-6783524;R-HSA-6786095;R-HSA-6786092;R-HSA-921155;R-HSA-6783530;R-HSA-976991;R-HSA-6786101;R-HSA-6809140;R-HSA-6786096;R-HSA-8950480;R-HSA-1364044;R-HSA-6786110;R-HSA-1168456;R-HSA-1168459;R-HSA-8950485;R-HSA-1364043;R-HSA-6784006;R-HSA-1112690;R-HSA-6786050;R-HSA-9705726;R-HSA-6786058;R-HSA-1067646;R-HSA-1112703;R-HSA-6785047;R-HSA-6786070;R-HSA-8950522;R-HSA-9678561;R-HSA-6788628;R-HSA-9006844;R-HSA-9008894;R-HSA-914036;R-HSA-1170539;R-HSA-8950518;R-HSA-9009910;R-HSA-6786072;R-HSA-912527;R-HSA-9617941;R-HSA-1112727;R-HSA-8848395;R-HSA-8987141;R-HSA-1067651;R-HSA-1112708;R-HSA-1067659;R-HSA-8950292;R-HSA-447130;R-HSA-8987156;R-HSA-8950314;R-HSA-8987179;R-HSA-1112755;R-HSA-9008684;R-HSA-6783681;R-HSA-9674808;R-HSA-6784204;R-HSA-8950328;R-HSA-1067688;R-HSA-1302698;R-HSA-8950322;R-HSA-9008692;R-HSA-8950344;R-HSA-6784160;R-HSA-1675473;R-HSA-8950340;R-HSA-9674816;R-HSA-8950364;R-HSA-8950365;R-HSA-8950367;R-HSA-8981073;R-HSA-877269;R-HSA-8950354;R-HSA-6784189;R-HSA-8987220;R-HSA-8981093;R-HSA-877308;R-HSA-982778;R-HSA-982775;R-HSA-447226;R-HSA-8950389;R-HSA-909552;R-HSA-982768;R-HSA-982792;R-HSA-8984963;R-HSA-914182;R-HSA-8984964;R-HSA-449803;R-HSA-6785898;R-HSA-8987033;R-HSA-8950681;R-HSA-447252;R-HSA-8950684;R-HSA-982810;R-HSA-8950173;R-HSA-9005980;R-HSA-449811;R-HSA-8950175;R-HSA-982807;R-HSA-6784324;R-HSA-6784323;R-HSA-8952749;R-HSA-8983983;R-HSA-8950190;R-HSA-879909;R-HSA-1169210;R-HSA-879910;R-HSA-8950181;R-HSA-879907;R-HSA-8950201;R-HSA-879934;R-HSA-8983996;R-HSA-1169188;R-HSA-8950718;R-HSA-879930;R-HSA-879925;R-HSA-9009072;R-HSA-449855;R-HSA-1169192;R-HSA-8950218;R-HSA-8950732;R-HSA-8984012;R-HSA-8984014;R-HSA-9008577;R-HSA-8848335;R-HSA-8984001;R-HSA-8950721;R-HSA-8950210;R-HSA-879942;R-HSA-8950724;R-HSA-879937;R-HSA-8950213;R-HSA-508247;R-HSA-8983519;R-HSA-8983518;R-HSA-6784319;R-HSA-8950225;R-HSA-8950737;R-HSA-8984021;R-HSA-9707977;R-HSA-8984023;R-HSA-451942;R-HSA-919404;R-HSA-8987104;R-HSA-8950757;R-HSA-1168767;R-HSA-8952807;R-HSA-9705467;R-HSA-6784791;R-HSA-8950778;R-HSA-8950780;R-HSA-8950269;R-HSA-8848370;R-HSA-912757;R-HSA-6785821;R-HSA-8950771;R-HSA-8950260;R-HSA-508282;R-HSA-8952823;R-HSA-8950537;R-HSA-6788582;R-HSA-508292;R-HSA-6789615;R-HSA-9006850;R-HSA-8950533;R-HSA-9006873;R-HSA-1370500;R-HSA-1168768;R-HSA-8983835;R-HSA-8983834;R-HSA-9705729;R-HSA-1015702;R-HSA-1015699;R-HSA-1370505;R-HSA-9705738;R-HSA-9006870;R-HSA-9706293;R-HSA-909738;R-HSA-8950063;R-HSA-8983841;R-HSA-9008928;R-HSA-8983845;R-HSA-448427;R-HSA-9706298;R-HSA-1112510;R-HSA-8950567;R-HSA-8950586;R-HSA-873919;R-HSA-873918;R-HSA-9676071;R-HSA-5696482;R-HSA-8950591;R-HSA-8983870;R-HSA-1168809;R-HSA-6788571;R-HSA-1168813;R-HSA-8950581;R-HSA-449976;R-HSA-8950583;R-HSA-997326;R-HSA-8983872;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-8983876;R-HSA-8983878;R-HSA-873922;R-HSA-9674563;R-HSA-9674562;R-HSA-1112514;R-HSA-913374;R-HSA-9674567;R-HSA-9006431;R-HSA-1168839;R-HSA-913371;R-HSA-8950623;R-HSA-913370;R-HSA-8950608;R-HSA-6797245;R-HSA-9706315;R-HSA-8986985;R-HSA-6790022;R-HSA-8950634;R-HSA-8950637;R-HSA-1112565;R-HSA-450031;R-HSA-1369080;R-HSA-450027;R-HSA-1168894;R-HSA-453111;R-HSA-453104;R-HSA-8950128;R-HSA-5675948;R-HSA-452091;R-HSA-6790041"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",4,45,0.0030987467291006747,0.006200595491903549,0.2418232241842384,7,7,5.213764337851929E-4,9606,Homo sapiens,"PTPRC;CSK;CD247;HLA-DQA1","","R-HSA-202291;R-HSA-202214;R-HSA-202165;R-HSA-8855375;R-HSA-202233;R-HSA-203774;R-HSA-8852200"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",9,211,0.014529679107560941,0.007397581052907443,0.25420181135489517,20,47,0.0035006703411291523,9606,Homo sapiens,"IL10;IRF4;IL23R;FASLG;JAK2","","R-HSA-6790022;R-HSA-6788582;R-HSA-6786050;R-HSA-6786114;R-HSA-6789615;R-HSA-6786095;R-HSA-6786092;R-HSA-6786124;R-HSA-6785898;R-HSA-6786058;R-HSA-6786070;R-HSA-6786101;R-HSA-6788628;R-HSA-6786096;R-HSA-6786110;R-HSA-6797245;R-HSA-6785821;R-HSA-6788571;R-HSA-6790041;R-HSA-6786072"
R-HSA-8941855,"RUNX3 regulates CDKN1A transcription",2,8,5.508883073956756E-4,0.00747652386337927,0.25420181135489517,6,6,4.4689408610159393E-4,9606,Homo sapiens,"SMAD3;RUNX3","","R-HSA-8878117;R-HSA-8878130;R-HSA-8878178;R-HSA-8952128;R-HSA-8878143;R-HSA-8878186"
R-HSA-164944,"Nef and signal transduction",2,9,6.19749345820135E-4,0.0093641665253682,0.2902891622864142,2,5,3.7241173841799495E-4,9606,Homo sapiens,"ELMO1;CD247","","R-HSA-200952;R-HSA-164943"
R-HSA-912526,"Interleukin receptor SHC signaling",3,29,0.001996970114309324,0.011653836315534294,0.30299974420389164,6,6,4.4689408610159393E-4,9606,Homo sapiens,"IL2RA;JAK2;IL2","","R-HSA-508247;R-HSA-453111;R-HSA-912527;R-HSA-913374;R-HSA-453104;R-HSA-913424"
R-HSA-164952,"The role of Nef in HIV-1 replication and disease pathogenesis",3,29,0.001996970114309324,0.011653836315534294,0.30299974420389164,5,20,0.0014896469536719798,9606,Homo sapiens,"ELMO1;CD28;CD247","","R-HSA-167633;R-HSA-167637;R-HSA-200952;R-HSA-167630;R-HSA-164943"
R-HSA-9012546,"Interleukin-18 signaling",2,11,7.574714226690538E-4,0.01369985711731414,0.31698983912266776,2,4,2.9792939073439596E-4,9606,Homo sapiens,"IL18RAP;IL18R1","","R-HSA-8848370;R-HSA-8848395"
R-HSA-380108,"Chemokine receptors bind chemokines",4,57,0.003925079190194188,0.01378216691837686,0.31698983912266776,4,19,0.0014151646059883808,9606,Homo sapiens,"CXCR5;CCR4;CCR3;CCR2","","R-HSA-373061;R-HSA-373073;R-HSA-8862733;R-HSA-444523"
R-HSA-8934593,"Regulation of RUNX1 Expression and Activity",3,32,0.0022035532295827023,0.015124357480426509,0.3327358645693832,19,19,0.0014151646059883808,9606,Homo sapiens,"H19;RUNX1","","R-HSA-8938440;R-HSA-8935785;R-HSA-8938507;R-HSA-8937134;R-HSA-8937728;R-HSA-8936068;R-HSA-8938853;R-HSA-8937767;R-HSA-8938887;R-HSA-8865320;R-HSA-8935864;R-HSA-8939129;R-HSA-8935930;R-HSA-8936058;R-HSA-8937744;R-HSA-8937682;R-HSA-8938867;R-HSA-8935766;R-HSA-8938487"
R-HSA-9020958,"Interleukin-21 signaling",2,12,8.263324610935132E-4,0.01613523835926034,0.33884000554446714,5,5,3.7241173841799495E-4,9606,Homo sapiens,"IL21;STAT4","","R-HSA-9006873;R-HSA-9006844;R-HSA-9005980;R-HSA-9006850;R-HSA-9006870"
R-HSA-447115,"Interleukin-12 family signaling",5,96,0.006610659688748106,0.019799969329684752,0.39599938659369505,89,114,0.008490987635930284,9606,Homo sapiens,"IL10;IL23R;STAT4;JAK2","","R-HSA-8950537;R-HSA-8950415;R-HSA-9617941;R-HSA-8984963;R-HSA-8950533;R-HSA-8984964;R-HSA-8950405;R-HSA-8950681;R-HSA-8950426;R-HSA-8983835;R-HSA-447252;R-HSA-8983834;R-HSA-8950684;R-HSA-8950173;R-HSA-8950175;R-HSA-8950292;R-HSA-447130;R-HSA-8950423;R-HSA-8950441;R-HSA-8950314;R-HSA-8952749;R-HSA-8983983;R-HSA-8950190;R-HSA-8950063;R-HSA-8983841;R-HSA-8983845;R-HSA-8950181;R-HSA-448427;R-HSA-8950567;R-HSA-8950328;R-HSA-8950201;R-HSA-8950586;R-HSA-8983996;R-HSA-8950718;R-HSA-8950591;R-HSA-8983870;R-HSA-8950448;R-HSA-8950322;R-HSA-8950453;R-HSA-8950581;R-HSA-8950583;R-HSA-8950344;R-HSA-8950218;R-HSA-8950732;R-HSA-8984012;R-HSA-8984014;R-HSA-8984001;R-HSA-8983872;R-HSA-8950721;R-HSA-8950210;R-HSA-8950724;R-HSA-8950340;R-HSA-8983876;R-HSA-8950213;R-HSA-8983878;R-HSA-6809140;R-HSA-8950364;R-HSA-8950365;R-HSA-9006431;R-HSA-8983519;R-HSA-8950367;R-HSA-8950623;R-HSA-8983518;R-HSA-8981073;R-HSA-8950480;R-HSA-8950608;R-HSA-8950225;R-HSA-8950737;R-HSA-8950354;R-HSA-8984021;R-HSA-8950485;R-HSA-8984023;R-HSA-8950634;R-HSA-8950637;R-HSA-8981093;R-HSA-8950757;R-HSA-1067646;R-HSA-8952807;R-HSA-8950522;R-HSA-8950778;R-HSA-8950780;R-HSA-8950269;R-HSA-8950128;R-HSA-8950771;R-HSA-8950260;R-HSA-447226;R-HSA-8950389;R-HSA-8950518;R-HSA-8952823"
R-HSA-9020558,"Interleukin-2 signaling",2,14,9.640545379424321E-4,0.02151054326058388,0.40870032195109374,12,19,0.0014151646059883808,9606,Homo sapiens,"IL2RA;IL2","","R-HSA-451942;R-HSA-450054;R-HSA-919404;R-HSA-452100;R-HSA-508292;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-452122;R-HSA-508282;R-HSA-452091;R-HSA-450027"
R-HSA-8951936,"RUNX3 regulates p14-ARF",2,16,0.0011017766147913511,0.027519575289167375,0.4678327799158454,8,8,5.958587814687919E-4,9606,Homo sapiens,"RUNX3;RUNX1","","R-HSA-8951977;R-HSA-8952058;R-HSA-8952062;R-HSA-8951966;R-HSA-8951951;R-HSA-8952081;R-HSA-8952101;R-HSA-8952069"
R-HSA-8984722,"Interleukin-35 Signalling",2,16,0.0011017766147913511,0.027519575289167375,0.4678327799158454,23,26,0.0019365410397735737,9606,Homo sapiens,"STAT4;JAK2","","R-HSA-8984012;R-HSA-8983983;R-HSA-8984014;R-HSA-8983841;R-HSA-8984001;R-HSA-8983872;R-HSA-8984963;R-HSA-8983845;R-HSA-8983876;R-HSA-8984964;R-HSA-8950405;R-HSA-8983878;R-HSA-8950522;R-HSA-8983835;R-HSA-8983834;R-HSA-6809140;R-HSA-8983996;R-HSA-8983519;R-HSA-8983870;R-HSA-8983518;R-HSA-8984021;R-HSA-8950453;R-HSA-8984023"
R-HSA-877312,"Regulation of IFNG signaling",2,16,0.0011017766147913511,0.027519575289167375,0.4678327799158454,3,4,2.9792939073439596E-4,9606,Homo sapiens,"JAK2;PTPN2","","R-HSA-997326;R-HSA-877308;R-HSA-877269"
R-HSA-389948,"PD-1 signaling",3,45,0.0030987467291006747,0.036231976763503315,0.4974081053457887,3,5,3.7241173841799495E-4,9606,Homo sapiens,"CSK;CD247;HLA-DQA1","","R-HSA-389762;R-HSA-389759;R-HSA-389758"
R-HSA-9706369,"Negative regulation of FLT3",2,20,0.001377220768489189,0.041261709029834504,0.4974081053457887,3,12,8.937881722031879E-4,9606,Homo sapiens,"CSK;SH2B3","","R-HSA-9706293;R-HSA-9706298;R-HSA-9706315"
R-HSA-8878159,"Transcriptional regulation by RUNX3",5,118,0.008125602534086214,0.042195710385012575,0.4974081053457887,42,47,0.0035006703411291523,9606,Homo sapiens,"SMAD3;RUNX3;RUNX1","","R-HSA-8878212;R-HSA-8937807;R-HSA-8952399;R-HSA-8951951;R-HSA-8951695;R-HSA-8952128;R-HSA-8937792;R-HSA-8878220;R-HSA-8951428;R-HSA-8952069;R-HSA-8952408;R-HSA-8949276;R-HSA-8951966;R-HSA-8949343;R-HSA-8952081;R-HSA-8878237;R-HSA-8951442;R-HSA-8937814;R-HSA-8949335;R-HSA-8952232;R-HSA-8951977;R-HSA-8878117;R-HSA-8878243;R-HSA-4411367;R-HSA-8878178;R-HSA-8865454;R-HSA-8952226;R-HSA-8952419;R-HSA-8952101;R-HSA-8878186;R-HSA-8951910;R-HSA-8952058;R-HSA-8952442;R-HSA-8951676;R-HSA-8878130;R-HSA-8952062;R-HSA-8952382;R-HSA-8878193;R-HSA-8878143;R-HSA-8952371;R-HSA-8949301;R-HSA-8951926"
R-HSA-164939,"Nef mediated downregulation of CD28 cell surface expression",1,3,2.065831152733783E-4,0.04680162058298143,0.4974081053457887,3,3,2.2344704305079697E-4,9606,Homo sapiens,"CD28","","R-HSA-167633;R-HSA-167637;R-HSA-167630"
R-HSA-3311021,"SMAD4 MH2 Domain Mutants in Cancer",1,3,2.065831152733783E-4,0.04680162058298143,0.4974081053457887,1,1,7.448234768359899E-5,9606,Homo sapiens,"SMAD3","","R-HSA-3311014"
R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",1,3,2.065831152733783E-4,0.04680162058298143,0.4974081053457887,1,1,7.448234768359899E-5,9606,Homo sapiens,"DAG1","","R-HSA-5617096"
R-HSA-3304347,"Loss of Function of SMAD4 in Cancer",1,3,2.065831152733783E-4,0.04680162058298143,0.4974081053457887,1,1,7.448234768359899E-5,9606,Homo sapiens,"SMAD3","","R-HSA-3311014"
R-HSA-3315487,"SMAD2/3 MH2 Domain Mutants in Cancer",1,3,2.065831152733783E-4,0.04680162058298143,0.4974081053457887,1,1,7.448234768359899E-5,9606,Homo sapiens,"SMAD3","","R-HSA-3315483"
R-HSA-9020591,"Interleukin-12 signaling",4,84,0.005784327227654593,0.04689150531218533,0.4974081053457887,48,56,0.004171011470281543,9606,Homo sapiens,"IL10;STAT4;JAK2","","R-HSA-8950344;R-HSA-8950218;R-HSA-8950732;R-HSA-8950415;R-HSA-9617941;R-HSA-8950721;R-HSA-8950533;R-HSA-8950213;R-HSA-8950681;R-HSA-8950426;R-HSA-447252;R-HSA-8950684;R-HSA-8950365;R-HSA-8950173;R-HSA-9006431;R-HSA-8950367;R-HSA-8950175;R-HSA-8950623;R-HSA-8981073;R-HSA-8950480;R-HSA-8950608;R-HSA-8950225;R-HSA-8950354;R-HSA-8950292;R-HSA-8950423;R-HSA-8950314;R-HSA-8950634;R-HSA-8950637;R-HSA-8950190;R-HSA-8950063;R-HSA-8981093;R-HSA-8950181;R-HSA-8950757;R-HSA-8950567;R-HSA-8952807;R-HSA-8950328;R-HSA-8950201;R-HSA-8950586;R-HSA-8950778;R-HSA-8950718;R-HSA-8950448;R-HSA-8950128;R-HSA-8950322;R-HSA-8950771;R-HSA-8950260;R-HSA-447226;R-HSA-8950389;R-HSA-8950581"
